user@ubunt:~/myservice$ docker compose logs myservice | grep -E "(Cache HIT|Cache MISS|Cache SET)" | tail -20
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.104029	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=8d5d68c07f1934589d3456690cc319e8	span_id=7b03d1142fd9ff30	link=18384adbad8b01c38b1e314b0cbd977b	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.104034	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=8d5d68c07f1934589d3456690cc319e8	span_id=7b03d1142fd9ff30	link=18384adbad8b01c38b1e314b0cbd977b	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.104040	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=8d5d68c07f1934589d3456690cc319e8	span_id=7b03d1142fd9ff30	parent_id=	link=18384adbad8b01c38b1e314b0cbd977b	stopwatch_name=POST /api/login	total_time=0.018064	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.104022	http_handle_request_time=0.003997	http_parse_request_data_time=0.000043	http_check_auth_time=0.000089	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.105632	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=d0b2faef4f67378f6f646d6987fd1ff4	span_id=6ac82645fd160097	link=0402ec695c1d49006a348bea2e34c2ed	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.105644	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=d0b2faef4f67378f6f646d6987fd1ff4	span_id=6ac82645fd160097	link=0402ec695c1d49006a348bea2e34c2ed	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.105648	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=d0b2faef4f67378f6f646d6987fd1ff4	span_id=6ac82645fd160097	parent_id=	link=0402ec695c1d49006a348bea2e34c2ed	stopwatch_name=POST /api/login	total_time=0.032992	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.105616	http_handle_request_time=0.008724	http_parse_request_data_time=0.000087	http_check_auth_time=0.000223	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.106606	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=fa307d7d38a4a9552415240ad1cd7480	span_id=c6122c9d81be063b	link=483777ac69bff3c02fad51e1158760da	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.106618	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=fa307d7d38a4a9552415240ad1cd7480	span_id=c6122c9d81be063b	link=483777ac69bff3c02fad51e1158760da	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.106623	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=fa307d7d38a4a9552415240ad1cd7480	span_id=c6122c9d81be063b	parent_id=	link=483777ac69bff3c02fad51e1158760da	stopwatch_name=POST /api/login	total_time=0.032016	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.106591	http_handle_request_time=0.008348	http_parse_request_data_time=0.000078	http_check_auth_time=0.000215	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.106677	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=c47547a5873091d52f6e77c2d9468aaa	span_id=769be6ff1325c20e	link=feda93f2b40c0279e845457c650f7879	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.106684	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=c47547a5873091d52f6e77c2d9468aaa	span_id=769be6ff1325c20e	link=feda93f2b40c0279e845457c650f7879	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.106687	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=c47547a5873091d52f6e77c2d9468aaa	span_id=769be6ff1325c20e	parent_id=	link=feda93f2b40c0279e845457c650f7879	stopwatch_name=POST /api/login	total_time=0.01887	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.106668	http_handle_request_time=0.005231	http_parse_request_data_time=0.000064	http_check_auth_time=0.000148	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
